Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
1993,Tigers,101.6374945640564,100.41303634643555,99.68001246452332,98.96953105926514,95.64349055290222,97.10536003112793,108.4654450416565,100.92860460281372,102.88922786712646,,,,,103.16050052642822
1993,Twins,101.81937217712402,101.13582611083984,103.9823055267334,100.19183158874512,103.77944707870483,114.08551931381226,100.73456764221191,102.87429094314575,101.38111114501953,,,,,99.72737431526184
1993,White Sox,97.43605852127075,96.59649729728699,99.6144711971283,100.16152858734131,95.01373171806335,100.93845129013062,98.06823134422302,97.07489013671875,97.9229748249054,,,,,99.29627180099487
1993,Yankees,98.56992959976196,96.48734331130981,93.38646531105042,99.4566261768341,95.95059752464294,86.39712333679199,102.97130346298218,97.49354720115662,97.19481468200684,,,,,100.56753158569336
1994,Angels,101.05812549591064,101.64741277694702,102.55255699157715,100.4364013671875,96.60506844520569,83.81056189537048,106.51918649673462,102.21437215805054,98.73393774032593,,,,,101.34040117263794
1994,Astros,94.33345794677734,93.81613731384277,96.91258072853088,97.9249656200409,99.05325174331665,93.74684691429138,91.36136770248413,104.5100450515747,97.90121912956238,,,,,95.65987586975098
1994,Athletics,95.7658052444458,92.22001433372498,91.55383706092834,98.48127961158752,92.81237721443176,92.266184091568,98.31786155700684,101.68678760528564,98.80484938621521,,,,,98.6105740070343
1994,Blue Jays,100.38564205169678,100.6163239479065,96.937495470047,97.63287305831909,103.2339096069336,111.24200820922852,104.71069812774658,102.41999626159668,100.61564445495605,,,,,101.20928287506104
1994,Braves,100.876784324646,100.06217956542969,96.96029424667358,100.90161561965942,98.63109588623047,91.71618819236755,103.93918752670288,97.36350774765015,99.31942820549011,,,,,101.51726007461548
1994,Brewers,100.73217153549194,104.49079275131226,105.92042207717896,102.4685263633728,98.76468181610107,100.08412599563599,93.41242909431458,97.82642722129822,102.25883722305298,,,,,99.09534454345703
1994,Cardinals,98.70498776435852,97.96724915504456,100.01258850097656,99.65004920959473,102.28133201599121,99.69996809959412,95.90229988098145,99.30888414382935,98.56365323066711,,,,,98.70395064353943
1994,Cubs,100.00466108322144,99.15742874145508,92.6362931728363,99.84738826751709,99.22930598258972,103.4502625465393,103.34563255310059,100.85510015487671,101.39473676681519,,,,,101.13081932067871
1994,Dodgers,93.31356287002563,92.84425973892212,89.73146677017212,100.35333633422852,89.54047560691833,79.6436071395874,90.29315710067749,98.73679876327515,95.95429301261902,,,,,96.13646864891052
1994,Expos,101.95655822753906,99.4269073009491,103.53573560714722,98.47118854522705,106.74929618835449,106.30027055740356,95.73161005973816,98.11989665031433,102.05469131469727,,,,,99.48345422744751
1994,Giants,96.91314101219177,94.5424735546112,98.7502932548523,97.91012406349182,97.97887802124023,88.75817060470581,99.33184385299683,100.9900689125061,99.16959404945374,,,,,99.61330890655518
1994,Indians,100.84748268127441,99.612957239151,103.56096029281616,101.06803178787231,103.31671237945557,94.58736777305603,97.24435210227966,98.85476231575012,100.9509801864624,,,,,99.39890503883362
1994,Mariners,100.36801099777222,101.22408866882324,104.48200702667236,97.20168113708496,108.8312029838562,91.90075993537903,100.94747543334961,104.5758605003357,102.58928537368774,,,,,100.25696754455566
1994,Marlins,99.43127632141113,102.55744457244873,109.8049521446228,100.99908113479614,95.769202709198,109.46388244628906,96.8220055103302,101.0919451713562,102.00204849243164,,,,,99.6123731136322
1994,Mets,96.51741981506348,98.55220913887024,104.10745143890381,100.55373907089233,94.79902982711792,98.77663850784302,97.59784936904907,100.34036636352539,97.70867824554443,,,,,99.01216626167297
1994,Orioles,100.51121711730957,103.98416519165039,105.89092969894409,100.3466010093689,96.28607034683228,91.6144609451294,104.37690019607544,100.359046459198,100.12776851654053,,,,,101.31728649139404
1994,Padres,98.84667992591858,97.23669290542603,99.80690479278564,99.62009191513062,94.91209983825684,95.46365737915039,108.67438316345215,100.3455638885498,99.56819415092468,,,,,102.01016664505005
1994,Phillies,100.29418468475342,101.97466611862183,96.44741415977478,99.0294098854065,104.36720848083496,102.52406597137451,99.03574585914612,102.128005027771,99.73194599151611,,,,,99.01384711265564
1994,Pirates,101.54353380203247,102.30399370193481,100.4117488861084,99.66275095939636,104.91019487380981,101.13656520843506,98.60676527023315,101.2574315071106,102.04365253448486,,,,,99.62254166603088
1994,Rangers,103.29362154006958,102.87107229232788,94.9790358543396,102.78950929641724,99.62087273597717,121.04247808456421,99.90957975387573,98.26322793960571,100.35383701324463,,,,,100.48871040344238
1994,Red Sox,104.44586277008057,104.33176755905151,103.35303544998169,103.8927674293518,111.7979645729065,102.3403525352478,98.09129238128662,99.75133538246155,101.10481977462769,,,,,99.49924945831299
1994,Reds,99.51531887054443,98.58890175819397,99.26185607910156,97.36742973327637,101.41080617904663,92.64945983886719,100.1587986946106,98.2833981513977,102.96165943145752,,,,,101.09200477600098
1994,Rockies,113.59230279922485,119.41757202148438,114.38167095184326,105.85989952087402,104.00549173355103,163.2620334625244,105.66635131835938,97.44001626968384,103.45052480697632,,,,,103.78584861755371
1994,Royals,101.20749473571777,102.81121730804443,108.06423425674438,101.50381326675415,106.50321245193481,123.76880645751953,90.36998748779297,93.8387930393219,96.89858555793762,,,,,98.6010491847992
1994,Tigers,100.5946397781372,101.44914388656616,100.95572471618652,98.41954708099365,96.50204181671143,98.11110496520996,106.72167539596558,101.57032012939453,101.34196281433105,,,,,102.29271650314331
1994,Twins,101.80588960647583,101.81572437286377,98.37670922279358,99.15950298309326,104.04928922653198,108.96826982498169,101.5138030052185,102.91365385055542,101.70489549636841,,,,,99.97627139091492
1994,White Sox,95.9518313407898,97.24509119987488,95.4885721206665,99.98602867126465,92.3369288444519,98.61726760864258,95.47553062438965,96.43355011940002,98.25342893600464,,,,,98.80364537239075
1994,Yankees,98.43583106994629,95.54968476295471,91.96227788925171,100.30090808868408,95.61719298362732,88.27139139175415,101.19632482528687,96.76291942596436,97.51039147377014,,,,,100.34972429275513
1995,Angels,101.29562616348267,99.13986921310425,97.95199036598206,99.6165931224823,97.65229225158691,82.33945965766907,109.46646928787231,102.99386978149414,99.33357238769531,,,,,102.40635871887207
1995,Astros,94.33286786079407,92.6078736782074,89.01888132095337,97.03884720802307,99.09819960594177,99.09948110580444,91.31925106048584,104.21340465545654,95.48519253730774,,,,,94.72637176513672
1995,Athletics,96.93142175674438,95.28295993804932,91.66445732116699,100.22517442703247,95.6836462020874,89.76072072982788,97.75099158287048,100.30680894851685,99.0755021572113,,,,,98.95128011703491
1995,Blue Jays,100.01778602600098,99.58666563034058,100.06548166275024,98.26205968856812,102.12398767471313,112.27645874023438,103.10723781585693,102.25672721862793,100.1326322555542,,,,,100.68198442459106
1995,Braves,100.876784324646,101.63146257400513,103.98075580596924,100.90161561965942,98.63109588623047,91.71618819236755,103.93918752670288,97.36350774765015,99.31942820549011,,,,,101.51726007461548
1995,Brewers,102.54601240158081,105.39801120758057,109.88049507141113,103.48888635635376,102.14875936508179,105.13027906417847,95.01649141311646,98.94277453422546,103.30899953842163,,,,,99.701589345932
1995,Cardinals,97.87894487380981,99.765944480896,101.89317464828491,99.2866039276123,102.60448455810547,92.9753303527832,95.16319036483765,98.81260991096497,98.69531393051147,,,,,98.27229380607605
1995,Cubs,100.95115900039673,98.85716438293457,100.9615421295166,100.75652599334717,97.38147258758545,96.22341990470886,106.24295473098755,100.83223581314087,101.42738819122314,,,,,101.9035816192627
1995,Dodgers,92.76396632194519,90.27209281921387,91.15039706230164,99.18617606163025,88.63595128059387,76.06950402259827,92.7090048789978,98.49709272384644,96.3611900806427,,,,,96.97362780570984
1995,Expos,101.0408878326416,102.28303670883179,98.76051545143127,99.07752871513367,106.6049337387085,107.22382068634033,94.90424990653992,98.90141487121582,103.0540943145752,,,,,99.186110496521
1995,Giants,96.69466018676758,97.59313464164734,94.4476068019867,97.75109887123108,97.15622067451477,87.4565839767456,98.55128526687622,102.82405614852905,101.20543241500854,,,,,99.32985305786133
1995,Indians,100.84748268127441,99.612957239151,93.7703549861908,101.06803178787231,103.31671237945557,94.58736777305603,97.24435210227966,98.85476231575012,100.9509801864624,,,,,99.39890503883362
1995,Mariners,100.31483173370361,100.57029724121094,101.35215520858765,96.69244885444641,106.58471584320068,90.21490216255188,101.3872742652893,105.05632162094116,104.13249731063843,,,,,100.38788318634033
1995,Marlins,99.43127632141113,99.24388527870178,97.7971076965332,100.99908113479614,95.769202709198,109.46388244628906,96.8220055103302,101.0919451713562,102.00204849243164,,,,,99.6123731136322
1995,Mets,97.28954434394836,95.75834274291992,95.06469964981079,100.72058439254761,95.55892944335938,98.7149178981781,97.07765579223633,100.47054290771484,98.39787483215332,,,,,98.8040566444397
1995,Orioles,100.55023431777954,99.61578249931335,101.39966011047363,100.9937047958374,95.49558162689209,85.04838943481445,104.99876737594604,100.7636308670044,99.4333803653717,,,,,101.2104868888855
1995,Padres,96.53680324554443,95.90968489646912,93.12100410461426,98.2046902179718,94.26375031471252,95.65695524215698,105.4845929145813,101.27671957015991,97.02166318893433,,,,,100.27462244033813
1995,Phillies,100.14634132385254,100.51747560501099,109.26421880722046,98.99694323539734,106.89120292663574,98.94720911979675,98.79618883132935,101.49657726287842,99.04881119728088,,,,,99.22996759414673
1995,Pirates,102.01078653335571,102.9091477394104,106.1083436012268,98.75123500823975,103.96159887313843,104.23461198806763,101.78650617599487,100.95362663269043,100.80767869949341,,,,,100.52783489227295
1995,Rangers,103.29362154006958,102.87107229232788,105.7522177696228,102.78950929641724,99.62087273597717,121.04247808456421,99.90957975387573,98.26322793960571,100.35383701324463,,,,,100.48871040344238
1995,Red Sox,103.13810110092163,103.22209596633911,100.31270980834961,102.88230180740356,110.9147310256958,103.10121774673462,97.03196883201599,100.32213926315308,101.21551752090454,,,,,99.03841614723206
1995,Reds,99.8486578464508,98.95358085632324,97.48421311378479,97.87257313728333,102.67742872238159,94.34975981712341,99.05858635902405,97.88281917572021,103.34514379501343,,,,,100.9181261062622
1995,Rockies,123.06336164474487,124.66728687286377,128.59281301498413,112.2894287109375,111.06806993484497,128.2892346382141,126.94182395935059,95.6656813621521,102.77148485183716,,,,,111.10445261001587
1995,Royals,101.91243886947632,99.7928261756897,96.06800079345703,101.9829511642456,105.32839298248291,125.42909383773804,95.39949297904968,93.5805082321167,98.15676808357239,,,,,100.82516670227051
1995,Tigers,100.58979988098145,100.99184513092041,103.98457050323486,97.70410656929016,95.05996704101562,100.15679597854614,106.34852647781372,101.27757787704468,101.74112319946289,,,,,102.13155746459961
1995,Twins,102.04939842224121,101.81378126144409,102.38444805145264,99.43235516548157,103.76774072647095,103.12100648880005,100.47544240951538,102.52741575241089,100.63096284866333,,,,,99.55279231071472
1995,White Sox,96.33587002754211,94.51416730880737,96.52003049850464,99.57144856452942,94.66844201087952,104.21669483184814,94.42445635795593,96.97439670562744,98.01205396652222,,,,,98.11953902244568
1995,Yankees,96.75140380859375,98.19462299346924,101.38036012649536,99.72054362297058,95.0519859790802,90.74535965919495,99.33656454086304,96.8831717967987,95.70217728614807,,,,,98.92866015434265
1996,Angels,99.85061883926392,100.18070936203003,97.88615107536316,98.88150691986084,97.2754180431366,87.02399730682373,105.84454536437988,102.67058610916138,99.45125579833984,,,,,101.0899305343628
1996,Astros,94.73743438720703,92.046719789505,93.07972192764282,96.95166349411011,101.44039392471313,96.84720635414124,92.30087995529175,104.49893474578857,96.5522289276123,,,,,95.16038298606873
1996,Athletics,96.86511754989624,98.92537593841553,101.22652053833008,100.08034706115723,96.31680846214294,92.8322434425354,96.9926118850708,98.99855852127075,98.79334568977356,,,,,99.24017190933228
1996,Blue Jays,99.48323369026184,99.4468092918396,101.13188028335571,97.83068299293518,101.90014839172363,102.47659683227539,99.7243344783783,102.23289728164673,100.71340799331665,,,,,99.57008361816406
1996,Braves,100.876784324646,101.63146257400513,103.16089391708374,100.90161561965942,98.63109588623047,91.71618819236755,103.93918752670288,97.36350774765015,99.31942820549011,,,,,101.51726007461548
1996,Brewers,103.10096740722656,103.48609685897827,101.52298212051392,103.46498489379883,102.37778425216675,101.88231468200684,96.31428718566895,97.77398109436035,103.05507183074951,,,,,100.49595832824707
1996,Cardinals,99.49090480804443,98.56951236724854,98.07010889053345,99.5385229587555,102.83322334289551,94.0673291683197,98.2309639453888,99.91390705108643,100.80167055130005,,,,,99.99185800552368
1996,Cubs,100.50644874572754,102.7786135673523,101.6495943069458,101.03658437728882,97.10487127304077,93.74963641166687,104.73161935806274,100.41778087615967,101.11044645309448,,,,,101.48102045059204
1996,Dodgers,91.77343249320984,90.92625975608826,89.98660445213318,97.83494472503662,88.57535719871521,75.31673908233643,92.86941885948181,98.7771213054657,95.36205530166626,,,,,96.7974066734314
1996,Expos,99.63515996932983,102.00738906860352,104.8903226852417,99.60322976112366,103.8678765296936,108.22747945785522,93.77650618553162,99.53076839447021,102.03720331192017,,,,,98.4052062034607
1996,Giants,97.3938524723053,97.28118181228638,100.00426769256592,98.16126823425293,96.33876085281372,88.77924084663391,99.80396628379822,103.25390100479126,101.47126913070679,,,,,99.50004816055298
1996,Indians,100.84748268127441,98.32274913787842,102.40942239761353,101.06803178787231,103.31671237945557,94.58736777305603,97.24435210227966,98.85476231575012,100.9509801864624,,,,,99.39890503883362
1996,Mariners,100.40804147720337,99.67626333236694,97.32720851898193,96.8746542930603,105.91616630554199,89.9483859539032,102.33703851699829,104.59409952163696,104.62559461593628,,,,,100.99798440933228
1996,Marlins,98.20663928985596,96.17280960083008,93.77117156982422,99.99445676803589,95.31590342521667,110.83340644836426,96.08626365661621,100.44596195220947,100.92393159866333,,,,,99.14610385894775
1996,Mets,97.1264898777008,95.07794976234436,91.31839871406555,100.1878023147583,96.37205600738525,101.64182186126709,96.10827565193176,100.53783655166626,99.49588775634766,,,,,98.60537052154541
1996,Orioles,98.64742159843445,98.11267256736755,94.96439695358276,100.07532835006714,94.09432411193848,82.86572098731995,103.43071222305298,100.14030933380127,97.12290167808533,,,,,100.25991201400757
1996,Padres,94.23888921737671,94.32254433631897,95.88101506233215,97.15800285339355,92.54190921783447,88.39499950408936,101.96739435195923,102.02727317810059,96.5638816356659,,,,,98.519366979599
1996,Phillies,101.28570795059204,101.04390382766724,96.50537371635437,99.14804697036743,107.03926086425781,103.93441915512085,99.88958835601807,101.1136531829834,100.55303573608398,,,,,99.9851405620575
1996,Pirates,102.25056409835815,103.34985256195068,102.1697998046875,98.80898594856262,105.2753210067749,105.24716377258301,101.58789157867432,101.39613151550293,100.77003240585327,,,,,100.07023811340332
1996,Rangers,103.29362154006958,104.76032495498657,106.47019147872925,102.78950929641724,99.62087273597717,121.04247808456421,99.90957975387573,98.26322793960571,100.35383701324463,,,,,100.48871040344238
1996,Red Sox,101.58004760742188,102.02456712722778,105.98858594894409,102.59748697280884,108.53627920150757,102.89794206619263,97.4414050579071,100.72569847106934,100.05170106887817,,,,,98.59772324562073
1996,Reds,100.1734733581543,100.2145767211914,100.05990266799927,96.96181416511536,103.67106199264526,99.18241500854492,98.25664758682251,98.1812834739685,104.28769588470459,,,,,100.8956789970398
1996,Rockies,123.06336164474487,124.66728687286377,131.7483901977539,112.2894287109375,111.06806993484497,128.2892346382141,126.94182395935059,95.6656813621521,102.77148485183716,,,,,111.10445261001587
1996,Royals,101.93431377410889,99.70588684082031,97.6000428199768,101.54619216918945,99.86918568611145,123.5714316368103,99.94155168533325,94.90143656730652,99.18319582939148,,,,,101.97478532791138
1996,Tigers,100.93796253204346,100.906503200531,98.73483777046204,98.02740812301636,94.57406401634216,98.26969504356384,107.59239196777344,101.61877870559692,102.66127586364746,,,,,102.82801389694214
1996,Twins,101.32097005844116,102.71439552307129,103.84770631790161,99.83465671539307,102.7945876121521,105.2187442779541,101.00114345550537,102.40180492401123,100.92352628707886,,,,,99.69080686569214
1996,White Sox,96.5452492237091,94.98119354248047,92.06572771072388,99.30737018585205,96.28364443778992,105.31649589538574,93.60326528549194,96.32599949836731,98.18271994590759,,,,,97.94890880584717
1996,Yankees,97.51450419425964,98.66353869438171,100.36356449127197,100.11091232299805,98.49491715431213,90.84782600402832,98.32073450088501,97.59407639503479,95.60098648071289,,,,,98.45768213272095
1997,Angels,99.44450855255127,99.72962737083435,104.9681544303894,98.64868521690369,97.80288338661194,89.0389621257782,104.7849178314209,102.17276811599731,100.13883113861084,,,,,101.05245113372803
1997,Astros,94.48177814483643,95.20192742347717,94.07480359077454,96.59259915351868,101.95053815841675,100.91172456741333,89.582759141922,104.98226881027222,97.12353348731995,,,,,94.24000978469849
1997,Athletics,97.88068532943726,99.19325709342957,103.59053611755371,100.00852346420288,97.42241501808167,91.93103313446045,97.3712682723999,97.88163900375366,97.96425104141235,,,,,99.26236867904663
1997,Blue Jays,100.20385980606079,99.84065890312195,96.92133665084839,98.24830889701843,104.53416109085083,100.40446519851685,98.32608699798584,101.38649940490723,100.84747076034546,,,,,99.3901014328003
1997,Braves,98.9402174949646,97.74807095527649,99.1938829421997,100.82327127456665,98.37738871574402,99.32525753974915,97.06079959869385,98.92622232437134,99.14759993553162,,,,,98.69455099105835
